Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Industry_of_Experience,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Routine_vs_Dynamic_Work,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Work_Life_Balance_Preference,Salary_Expectation,Value_Priority,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Journalism,Flexible,Practical,Medium,Medium,Low,Medium,Medium,Public Relations,16,Medium,Low,Low,Medium,High,Kinesthetic,5,High,Technology,Urban,Yes,Masters,2.46,Construction,No,Yes,Low,Routine,Low,Medium,10,Freelance,Remote,High,60kâ€“100k,Innovation,Yes,20,Yes,Low,High,Low,Medium,Low,Sales
Mathematics,Collaborative,Creative,Medium,Medium,Low,Low,Medium,Civil Engineering,8,High,Low,High,Medium,High,Auditory,4,High,Marketing,Rural,Yes,Masters,3.24,Law,No,No,High,Dynamic,Medium,Low,8,9â€“5,On-site,Low,<30k,Recognition,No,7,No,Low,High,Medium,Low,Low,Journalism
Design,Collaborative,Analytical,Medium,Medium,Low,High,Low,Business Administration,10,Medium,Medium,Low,Medium,Low,Reading/Writing,0,Medium,Marketing,Flexible,No,Masters,3.66,Arts,Yes,No,High,Routine,Medium,High,5,Shifts,On-site,Medium,30kâ€“60k,Recognition,No,7,Yes,Low,High,Medium,Medium,Low,Technology
Education,Collaborative,Creative,High,Medium,Medium,High,Low,Economics,15,Medium,High,Low,High,Medium,Visual,3,Medium,Engineering,Rural,Yes,Masters,2.72,Law,Yes,No,Medium,Dynamic,Medium,High,9,Freelance,On-site,Low,>100k,Helping Others,No,20,No,Medium,Medium,Low,Medium,High,Marketing
Medical,Collaborative,Analytical,Low,Low,Low,Medium,Medium,Mathematics,17,Medium,Medium,Low,Medium,High,Reading/Writing,5,Medium,Design,Urban,No,Diploma,3.31,Tech,No,Yes,High,Routine,Low,Medium,4,Freelance,Hybrid,High,<30k,Recognition,Yes,3,Yes,Medium,Medium,High,Low,High,Animator
Doctor,Collaborative,Strategic,High,High,Low,Medium,Medium,Physics,20,Low,High,Low,High,Medium,Auditory,0,Low,Design,Urban,Yes,Bachelors,3.77,Healthcare,Yes,Yes,Medium,Dynamic,Low,High,3,Shifts,Hybrid,Low,<30k,Innovation,Yes,19,Yes,Medium,High,Low,High,High,Sales
Marketing,Independent,Analytical,Low,Low,High,Medium,Medium,Mathematics,17,Medium,Low,Low,Medium,High,Reading/Writing,0,Medium,Architecture,Flexible,No,Diploma,3,Construction,Yes,No,High,Dynamic,Medium,High,4,9â€“5,Hybrid,High,<30k,Innovation,Yes,18,No,Medium,Low,Medium,Low,Medium,Civil Engineer
Hospitality,Collaborative,Strategic,Medium,Medium,High,Medium,Medium,Medicine,19,Low,High,Medium,High,Medium,Visual,2,Medium,Finance,Urban,No,Masters,2.67,Healthcare,No,Yes,Low,Routine,Medium,High,9,Shifts,Hybrid,Low,>100k,Helping Others,No,18,No,Medium,Low,Low,High,High,Dentist
Education,Collaborative,Analytical,High,Medium,Medium,Low,High,Civil Engineering,4,Low,High,Medium,Medium,High,Kinesthetic,3,High,Arts,Rural,Yes,Masters,2.17,Arts,Yes,No,Medium,Routine,Medium,Medium,8,Shifts,Hybrid,Medium,60kâ€“100k,Helping Others,Yes,20,No,Medium,Medium,High,Medium,Medium,Doctor
Marketing,Independent,Practical,Medium,High,Low,Low,Medium,History,14,High,Low,Medium,Medium,Medium,Visual,3,Medium,Education,Flexible,Yes,Masters,3.52,Retail,No,No,Low,Routine,High,Medium,3,9â€“5,Hybrid,Low,>100k,Recognition,No,7,Yes,Low,Low,Low,High,Low,Lawyer
Arts,Flexible,Strategic,High,Low,Low,Medium,Low,Marketing,4,Medium,Low,Medium,Low,Low,Kinesthetic,1,Medium,Arts,Flexible,Yes,Masters,2.74,Arts,Yes,Yes,Low,Dynamic,Low,Medium,10,Shifts,Hybrid,Low,<30k,Helping Others,Yes,20,No,Low,Medium,Medium,Medium,Medium,Sales
Doctor,Flexible,Strategic,Low,Medium,Medium,High,Low,Architecture,12,Medium,High,Medium,Medium,Medium,Kinesthetic,2,High,Architecture,Rural,Yes,Diploma,3.99,Education,No,Yes,Low,Dynamic,Low,High,0,Freelance,On-site,High,60kâ€“100k,Security,No,3,No,Medium,Low,Low,High,High,Finance
Consulting,Collaborative,Practical,Low,Medium,Medium,Medium,Low,Mechanical Engineering,8,Medium,Low,Medium,Low,High,Kinesthetic,0,High,Teaching,Rural,No,Diploma,3.19,Healthcare,No,Yes,High,Dynamic,High,High,1,9â€“5,Remote,Low,>100k,Helping Others,No,15,No,Low,Medium,Medium,Low,Medium,Data Scientist
Arts,Independent,Practical,Medium,High,High,High,Medium,Mechanical Engineering,15,High,Low,Medium,High,Low,Kinesthetic,4,Medium,Sales,Urban,No,PhD,3.12,Arts,No,Yes,Medium,Routine,Medium,Medium,3,9â€“5,On-site,Low,60kâ€“100k,Security,Yes,19,Yes,High,Low,High,Medium,High,Biotechnologist
Technology,Independent,Analytical,Medium,Low,Medium,High,Medium,Political Science,18,Low,High,Medium,Medium,Medium,Auditory,1,High,Teaching,Flexible,No,PhD,3.46,Arts,Yes,Yes,Low,Routine,High,Medium,5,Shifts,Remote,Low,>100k,Security,Yes,13,Yes,High,Medium,Medium,High,Medium,AI Researcher
Business,Independent,Creative,High,Low,Low,Medium,Low,Statistics,10,High,Low,High,Low,Low,Auditory,2,Medium,Finance,Urban,Yes,Diploma,3.83,Finance,Yes,No,Low,Dynamic,Medium,High,5,9â€“5,Hybrid,Medium,<30k,Security,No,17,No,Low,Medium,High,Low,Low,Investment Banker
Doctor,Collaborative,Analytical,Medium,High,Medium,High,High,Engineering,7,Medium,Low,High,High,Medium,Visual,0,High,Hospitality,Flexible,No,Diploma,3.52,Finance,Yes,No,Medium,Routine,Low,Low,6,9â€“5,Remote,Medium,60kâ€“100k,Helping Others,No,3,Yes,Medium,Medium,Medium,Medium,High,Pharmacist
Arts,Collaborative,Analytical,High,High,Medium,Medium,Medium,Architecture,9,High,High,Medium,Medium,Low,Visual,4,Medium,Sales,Rural,No,Bachelors,2.54,Healthcare,No,Yes,Low,Dynamic,Medium,High,1,9â€“5,Remote,Low,30kâ€“60k,Security,Yes,7,Yes,High,Medium,Low,Medium,Medium,Lawyer
Teaching,Collaborative,Creative,High,Low,Medium,Medium,Medium,Computer Science,6,Low,Low,High,Medium,Low,Reading/Writing,3,High,Hospitality,Rural,Yes,Masters,2.46,Finance,No,Yes,Low,Routine,High,Medium,3,Shifts,On-site,High,>100k,Recognition,No,0,No,Medium,Medium,Medium,Medium,Medium,Technology
Design,Collaborative,Creative,High,Low,Low,Medium,Medium,Fine Arts,1,Medium,Medium,Low,High,Medium,Kinesthetic,3,Low,Business,Urban,Yes,PhD,2.22,Healthcare,No,No,Medium,Dynamic,Low,Medium,10,Freelance,Remote,High,>100k,Security,Yes,20,No,Medium,Low,High,Medium,Medium,Mathematics
Engineering,Collaborative,Practical,Medium,Medium,Low,Medium,Low,Architecture,10,High,Low,High,Medium,Low,Kinesthetic,0,High,Journalism,Rural,No,Masters,2.18,Law,No,Yes,High,Routine,Medium,High,8,9â€“5,Hybrid,Low,30kâ€“60k,Helping Others,No,10,Yes,High,High,Medium,Medium,High,Arts
Public Relations,Collaborative,Practical,Low,High,Medium,High,Low,Medicine,0,Low,Medium,Medium,Medium,High,Auditory,2,Low,Journalism,Flexible,Yes,Diploma,2.84,Healthcare,No,Yes,High,Dynamic,High,Medium,2,Shifts,Remote,High,>100k,Helping Others,Yes,20,Yes,Medium,Medium,Low,Medium,Medium,Content Writer
Journalism,Collaborative,Strategic,Medium,High,Low,Low,Medium,Business Administration,11,Low,Medium,Medium,Medium,High,Reading/Writing,0,High,Lawyer,Rural,No,Masters,2.62,Education,No,No,Medium,Dynamic,Low,Low,0,9â€“5,Remote,Medium,30kâ€“60k,Innovation,Yes,10,Yes,High,Medium,Low,Medium,High,Civil Engineer
Education,Flexible,Creative,High,Medium,Medium,High,Low,Biology,6,Medium,Low,High,Medium,Low,Reading/Writing,4,High,Finance,Flexible,Yes,Masters,2.98,Construction,No,No,Medium,Routine,High,Medium,1,Shifts,Hybrid,Low,<30k,Helping Others,No,5,No,High,Medium,High,High,Low,Education
Sales,Flexible,Creative,Medium,Medium,Low,High,Low,Civil Engineering,17,Low,Medium,High,Low,Medium,Reading/Writing,5,Low,Hospitality,Rural,Yes,Bachelors,3.96,Arts,No,Yes,Low,Routine,High,High,9,Shifts,Remote,Low,<30k,Security,Yes,18,No,Low,Medium,High,Medium,Low,Doctor
Technology,Flexible,Strategic,Medium,Low,Medium,Low,High,History,16,High,Medium,Low,Low,Medium,Visual,3,Medium,Design,Flexible,Yes,Diploma,3.38,Construction,No,No,High,Dynamic,Low,Low,8,Freelance,Remote,Medium,>100k,Recognition,No,11,Yes,Medium,Low,Medium,Medium,Medium,SEO Specialist
Mathematics,Independent,Strategic,Low,High,Medium,Medium,Low,Hospitality Management,17,High,Medium,Medium,Medium,Low,Auditory,0,Medium,Mathematics,Flexible,No,Bachelors,2.61,Law,Yes,No,Low,Dynamic,Medium,Medium,9,Freelance,Hybrid,Low,30kâ€“60k,Innovation,Yes,6,No,Medium,Low,High,High,Medium,Logistics Manager
Architecture,Independent,Creative,Low,Low,High,Medium,Low,Psychology,18,High,Medium,Medium,Medium,Medium,Auditory,2,Medium,Education,Rural,Yes,Diploma,3.52,Law,Yes,Yes,Low,Dynamic,High,High,0,Freelance,On-site,Medium,60kâ€“100k,Security,Yes,17,No,High,Low,Medium,Low,Low,Arts
Mathematics,Collaborative,Practical,Low,Medium,Low,High,Low,Physics,18,Low,High,High,Low,High,Reading/Writing,1,High,Business,Rural,Yes,Masters,3.61,Tech,Yes,No,Low,Routine,Medium,High,10,Shifts,On-site,Low,<30k,Security,Yes,4,Yes,Medium,Medium,Medium,High,Medium,Mechanical Engineer
Marketing,Independent,Creative,High,High,Medium,Medium,Low,Architecture,20,Medium,Medium,High,Medium,Medium,Visual,1,High,Business,Urban,Yes,PhD,3.69,Tech,Yes,No,High,Dynamic,High,High,10,Freelance,On-site,High,<30k,Innovation,Yes,11,Yes,High,Low,Low,Low,High,Finance
Design,Independent,Strategic,Low,Low,Low,High,Medium,Engineering,15,Low,Low,Medium,High,Low,Visual,3,Low,Marketing,Rural,No,Masters,2.01,Retail,No,No,Medium,Dynamic,High,Low,4,Shifts,Remote,Medium,30kâ€“60k,Recognition,No,2,Yes,Medium,High,Medium,Medium,High,Journalism
Engineering,Flexible,Analytical,Medium,Medium,Low,High,Medium,Chemistry,4,Low,Medium,High,High,Low,Auditory,3,Low,Hospitality,Urban,No,Masters,2.17,Construction,No,Yes,High,Dynamic,High,Low,2,Shifts,Remote,Medium,60kâ€“100k,Helping Others,Yes,3,No,High,Low,Low,High,Low,Finance
Engineering,Independent,Creative,High,Low,Medium,Low,Low,Engineering,6,Low,Medium,Medium,Low,Medium,Auditory,4,Medium,Lawyer,Rural,No,Masters,3.31,Law,Yes,Yes,Low,Routine,Low,High,9,Shifts,On-site,Low,60kâ€“100k,Innovation,Yes,14,No,Medium,Medium,Medium,Low,Medium,Engineering
Human Resources,Flexible,Creative,Low,High,Low,Low,Low,Education,1,High,Medium,Medium,Low,Low,Auditory,2,Medium,Finance,Rural,Yes,Bachelors,2.93,Construction,No,No,Medium,Routine,Medium,High,5,Shifts,On-site,Medium,>100k,Recognition,Yes,6,No,High,High,Medium,High,High,Mathematics
Engineering,Flexible,Analytical,High,Low,Medium,Medium,Medium,Statistics,16,High,Medium,High,High,Medium,Visual,3,High,Arts,Flexible,Yes,Bachelors,2.46,Construction,No,Yes,High,Dynamic,Low,Medium,5,9â€“5,Hybrid,Medium,<30k,Innovation,No,4,No,Medium,Medium,High,Medium,Low,Engineering
Arts,Collaborative,Analytical,Medium,High,High,Medium,Medium,Biology,16,Medium,High,Medium,Medium,Low,Kinesthetic,1,High,Doctor,Flexible,Yes,Masters,3.63,Healthcare,Yes,Yes,Low,Dynamic,Medium,Medium,5,Shifts,Hybrid,High,>100k,Innovation,No,9,No,Low,Low,Low,High,Medium,Chef
Lawyer,Independent,Creative,Low,High,Low,Low,Medium,Fine Arts,10,Medium,High,Medium,Medium,Low,Visual,1,Medium,Public Relations,Flexible,Yes,Diploma,3.06,Construction,No,No,High,Routine,High,Low,7,9â€“5,On-site,Low,>100k,Security,Yes,2,No,Low,High,High,Medium,Medium,Arts
Journalism,Independent,Creative,High,Medium,Low,Medium,Medium,Journalism,1,Medium,High,Medium,High,Low,Auditory,0,Low,Consulting,Rural,Yes,PhD,2.16,Finance,Yes,Yes,Medium,Dynamic,High,Low,5,Shifts,Hybrid,Medium,60kâ€“100k,Security,Yes,12,No,Medium,High,Medium,Low,Low,Pharmacist
Design,Flexible,Practical,High,Low,Low,Low,Medium,Philosophy,2,High,High,Medium,High,Medium,Reading/Writing,5,Medium,Hospitality,Urban,No,Masters,3.58,Law,Yes,Yes,High,Dynamic,Medium,Medium,2,Shifts,On-site,High,>100k,Recognition,No,5,Yes,High,High,Medium,Low,Medium,Engineering
Mathematics,Independent,Analytical,Medium,Medium,Medium,Low,Low,Environmental Science,0,High,High,High,Medium,Low,Kinesthetic,3,High,Teaching,Urban,Yes,PhD,2.58,Finance,No,Yes,Low,Dynamic,Low,High,2,Shifts,Hybrid,Low,60kâ€“100k,Helping Others,Yes,20,No,High,Low,Medium,High,Low,AI Researcher
Sales,Collaborative,Strategic,Medium,Medium,Low,High,Low,Business Administration,16,Low,Medium,Low,Medium,Medium,Kinesthetic,3,Low,Marketing,Urban,Yes,Diploma,2.01,Arts,No,Yes,Medium,Routine,Medium,Medium,5,Shifts,Remote,High,>100k,Recognition,Yes,20,Yes,Low,Low,Low,High,High,Mechanical Engineer
Education,Independent,Practical,Medium,Medium,Low,Medium,Low,Hospitality Management,5,High,Medium,High,Low,Medium,Reading/Writing,3,Medium,Design,Urban,No,PhD,3.97,Healthcare,No,No,Medium,Routine,High,Low,9,9â€“5,Hybrid,Low,30kâ€“60k,Innovation,Yes,0,Yes,Medium,High,High,Medium,Medium,Logistics Manager
Mathematics,Flexible,Analytical,Medium,High,High,Low,Low,Psychology,19,Low,High,Low,Medium,High,Visual,3,Low,Finance,Rural,No,Diploma,3.03,Tech,Yes,No,Low,Dynamic,High,High,10,Shifts,Remote,Medium,>100k,Helping Others,No,10,No,Low,High,High,Medium,Medium,Engineering
Sales,Collaborative,Practical,Medium,High,Medium,Low,Low,Finance,3,Medium,High,Low,Low,High,Kinesthetic,0,Medium,Design,Rural,No,PhD,3.74,Tech,No,Yes,Low,Dynamic,High,High,8,Freelance,Hybrid,Low,60kâ€“100k,Security,No,19,No,High,Medium,Low,Low,Low,Dentist
Journalism,Collaborative,Strategic,Low,Medium,Low,High,Low,Business Administration,10,Low,Low,Low,Low,High,Reading/Writing,5,Medium,Hospitality,Rural,Yes,Masters,2.12,Education,Yes,No,Medium,Dynamic,High,Low,0,Shifts,Hybrid,Low,<30k,Security,Yes,16,Yes,Low,High,Medium,Medium,Medium,Technical Writer
Journalism,Collaborative,Creative,Medium,Medium,Medium,High,Low,Fine Arts,8,High,Medium,High,High,Low,Kinesthetic,4,Low,Architecture,Rural,Yes,PhD,2.34,Education,No,No,High,Routine,Medium,High,5,9â€“5,Hybrid,High,60kâ€“100k,Recognition,No,16,Yes,Low,Medium,Medium,Medium,High,Hospitality
Medical,Independent,Strategic,Low,Medium,High,Medium,Low,Law,19,High,Low,Low,Low,Medium,Reading/Writing,0,High,Doctor,Urban,Yes,PhD,2.45,Tech,Yes,Yes,Medium,Dynamic,Medium,High,7,Freelance,On-site,High,<30k,Security,No,2,No,Medium,Medium,High,Medium,High,Civil Engineer
Arts,Collaborative,Analytical,Low,Medium,Low,High,Low,Nursing,3,High,Low,Low,Medium,High,Auditory,2,Medium,Hospitality,Rural,Yes,PhD,2.05,Healthcare,Yes,No,High,Routine,Low,Low,7,Freelance,Remote,Medium,>100k,Security,Yes,11,Yes,High,Medium,Low,Medium,High,Animator
Technology,Collaborative,Practical,Medium,Medium,Low,Medium,Low,Statistics,15,Low,High,Medium,Medium,Low,Kinesthetic,3,Medium,Engineering,Flexible,Yes,Masters,3.58,Construction,Yes,No,Medium,Routine,Medium,Low,7,Shifts,On-site,High,>100k,Helping Others,No,1,Yes,Low,Low,Medium,Low,Low,Investment Banker
Public Relations,Flexible,Creative,Medium,High,Medium,Medium,Low,Finance,8,High,Low,Medium,Medium,Low,Visual,0,Low,Design,Flexible,No,Diploma,3.9,Law,No,Yes,Medium,Routine,Low,High,1,Freelance,Hybrid,High,60kâ€“100k,Recognition,No,19,Yes,Low,High,High,Medium,High,AI Researcher
Marketing,Collaborative,Creative,Low,Low,Medium,Low,Low,Architecture,19,Low,Medium,High,Medium,Medium,Kinesthetic,4,Medium,Journalism,Urban,Yes,Diploma,3.74,Tech,No,Yes,Low,Dynamic,Medium,Low,5,Shifts,On-site,High,>100k,Helping Others,Yes,13,No,Low,Low,High,Medium,Low,Legal
Public Relations,Independent,Analytical,Medium,Low,Medium,High,Medium,Engineering,11,High,Low,Medium,Low,Medium,Auditory,4,High,Lawyer,Urban,No,Diploma,2.12,Education,No,No,High,Routine,High,High,3,Freelance,On-site,Low,30kâ€“60k,Security,No,4,No,Medium,Medium,Low,Low,Medium,Investment Banker
